Κωδικός Συστήματος,Εμβαδόν,Όροφος,Σύνολο ορόφων,Ασανσέρ,Θέα,Έτος κατασκευής,Έτος ανακαίνισης,Τιμή,Αρχική Τιμή
18055522,130,1.0,4.0,1,1.0,1988.0,2022.0,245.0,
17845458,104,2.0,,1,1.0,1978.0,,171.0,179.0
18396501,132,7.0,7.0,1,1.0,1976.0,2000.0,400.0,
18652593,117,6.0,,1,1.0,2024.0,,370.0,
18433163,105,5.0,7.0,1,1.0,1972.0,,229.0,
18351627,104,8.0,,1,1.0,2025.0,,300.0,
18247487,100,1.0,,0,0.0,1955.0,,199.0,
17720589,145,8.0,9.0,1,1.0,2025.0,,450.0,
18909290,105,3.0,5.0,1,1.0,1994.0,,230.0,
16990218,181,1.0,6.0,1,1.0,1990.0,2024.0,850.0,
18747001,103,8.0,,1,0,1976.0,,488.0,
17647719,104,7.0,7.0,1,1.0,1993.0,,280.0,
18532631,110,3.0,7.0,1,1.0,1970.0,,480.0,
19048175,105,7.0,,1,1.0,1963.0,2021.0,250.0,
19021955,117,5.0,,1,0.0,1992.0,,265.0,
18354147,121,7.0,,1,1.0,2025.0,,410.0,
19061189,126,3.0,5.0,1,1.0,1986.0,,187.0,
18753957,111,1.0,,1,0.0,1973.0,,190.0,
18906256,105,3.0,,1,0.0,1994.0,,230.0,
18869878,101,3.0,,1,1.0,1974.0,2010.0,199.0,
18544465,117,5.0,,1,1.0,1995.0,,280.0,
18796461,125,5.0,,0,1.0,2025.0,,390.0,
18624226,111,4.0,,1,1.0,1975.0,2009.0,285.0,
15611060,110,1.0,5.0,1,1.0,,,230.0,
18747344,100,7.0,7.0,1,1.0,1968.0,,300.0,
17671885,114,3.0,3.0,0,0.0,1970.0,2024.0,165.0,
18749458,155,1.0,4.0,0,1.0,1932.0,,695.0,
18909835,100,3.0,,1,1.0,1958.0,,350.0,
19062454,125,3.0,6.0,1,1.0,1986.0,,187.0,
17749281,160,1.0,,1,0,1980.0,,490.0,
18349902,100,4.0,,1,1.0,1957.0,,300.0,340.0
17149961,127,3.0,,1,0,1993.0,,340.0,
16978001,116,6.0,8.0,1,1.0,2024.0,,360.0,
18630603,115,7.0,,1,1.0,1958.0,,420.0,
17639907,110,1.0,,1,0.0,1978.0,,270.0,
19059627,125,3.0,6.0,1,1.0,1986.0,,187.0,
18351553,112,2.0,3.0,1,1.0,1965.0,1980.0,180.0,
13757654,100,8.0,8.0,1,1.0,1960.0,2023.0,328.0,
18791160,131,4.0,,1,1.0,1979.0,2024.0,460.0,
18891488,110,1.0,2.0,0,0,1955.0,,170.0,
18446550,114,2.0,,1,0.0,1979.0,,228.0,
17786713,121,4.0,6.0,1,1.0,1967.0,2018.0,255.0,
18384605,105,2.0,2.0,1,1.0,2007.0,,135.0,
17360316,115,7.0,8.0,1,1.0,1967.0,2025.0,490.0,
18530152,104,3.0,5.0,1,1.0,1994.0,,230.0,
18609417,146,3.0,,1,0.0,1979.0,,270.0,
18476295,110,5.0,5.0,1,1.0,1964.0,2025.0,325.0,
17777087,115,7.0,,1,1.0,1966.0,2025.0,490.0,
18711017,157,3.0,5.0,1,0,1980.0,,318.0,
19071090,140,7.0,,1,1.0,1974.0,,540.0,
18792852,131,4.0,5.0,1,1.0,1979.0,,460.0,
17018036,110,5.0,,1,1.0,1964.0,2025.0,325.0,
18749413,103,2.0,,0,0.0,1996.0,,180.0,
16779589,101,5.0,,1,1.0,2002.0,,250.0,
18734965,122,4.0,,1,1.0,2023.0,,430.0,
19058631,115,7.0,8.0,1,1.0,1966.0,2025.0,475.0,
18543535,115,4.0,,1,1.0,1993.0,,265.0,
18436690,130,3.0,6.0,1,0.0,1972.0,2022.0,320.0,
18620189,160,3.0,3.0,1,1.0,1976.0,,395.0,
19059626,157,2.0,5.0,1,1.0,1968.0,,315.0,
16722257,100,1.0,,1,1.0,1970.0,2015.0,200.0,
17857481,112,2.0,3.0,1,1.0,2011.0,,270.0,
16677991,110,1.0,5.0,1,0,,,230.0,
18595607,130,3.0,3.0,1,1.0,1978.0,2025.0,290.0,
19065731,128,4.0,5.0,1,1.0,1980.0,,320.0,
18320701,100,1.0,3.0,1,1.0,1958.0,2025.0,240.0,
19062113,160,7.0,,1,1.0,1970.0,2005.0,350.0,
18270135,125,2.0,,0,0,1929.0,,365.0,
18457436,144,7.0,,1,0,2025.0,,450.0,
17216166,113,2.0,4.0,1,1.0,1989.0,,269.0,
18158076,120,1.0,3.0,1,1.0,1980.0,2010.0,180.0,
18902335,198,8.0,,1,0,2019.0,,630.0,
18421635,131,4.0,,1,1.0,1983.0,,310.0,
18413745,180,6.0,8.0,1,1.0,1970.0,,690.0,
18718019,106,4.0,5.0,1,1.0,1971.0,,258.0,
17540604,110,5.0,5.0,1,1.0,1966.0,2025.0,325.0,
19031819,120,5.0,5.0,1,1.0,1990.0,2024.0,310.0,
18628299,115,2.0,8.0,1,1.0,1963.0,,380.0,
17153596,110,5.0,5.0,1,1.0,1964.0,2025.0,325.0,
17348281,136,4.0,5.0,1,1.0,,,420.0,
18382984,108,2.0,,1,1.0,1973.0,,185.0,
18533814,125,1.0,6.0,1,1.0,1975.0,2025.0,290.0,
18434969,100,4.0,4.0,1,1.0,1985.0,,295.0,
17640523,100,1.0,,1,0.0,1972.0,,220.0,
18388890,118,2.0,3.0,0,1.0,1970.0,,170.0,
18221567,150,4.0,,1,0,2025.0,,570.0,
18870099,100,1.0,3.0,1,0,1981.0,2021.0,200.0,
18839449,126,5.0,6.0,1,1.0,2024.0,,365.0,
18691709,100,1.0,3.0,1,0,1981.0,2021.0,200.0,
18715895,120,2.0,,1,0.0,1992.0,,240.0,
18378231,100,1.0,6.0,1,0.0,1958.0,2025.0,240.0,
19026565,111,6.0,7.0,1,1.0,2024.0,,290.0,
18623850,115,2.0,4.0,1,0.0,1967.0,2000.0,190.0,
15764276,120,6.0,,1,1.0,2024.0,,390.0,
18630616,100,4.0,,1,1.0,1959.0,,689.0,
18860143,112,2.0,3.0,0,1.0,1973.0,,250.0,
18157278,110,4.0,4.0,1,1.0,1980.0,2024.0,295.0,
18886778,131,4.0,,1,1.0,1979.0,,460.0,
18501485,104,4.0,5.0,1,0,1978.0,,210.0,
17780437,178,4.0,,1,1.0,1990.0,,730.0,
16466030,176,4.0,,1,1.0,1974.0,1998.0,460.0,
18382976,100,7.0,,1,1.0,1962.0,,295.0,
17912456,100,3.0,6.0,1,0.0,2005.0,,300.0,
