Κωδικός Συστήματος,Εμβαδόν,Όροφος,Σύνολο ορόφων,Ασανσέρ,Θέα,Έτος κατασκευής,Έτος ανακαίνισης,Τιμή,Αρχική Τιμή
18055522,130,1,4,1,1,1988,2022,245000,
17845458,104,2,,1,1,1978,,171000,179000
18396501,132,7,7,1,1,1976,2000,400000,
18652593,117,6,,1,1,2024,,370000,
18433163,105,5,7,1,1,1972,,229000,
18351627,104,8,,1,1,2025,,300000,
17847737,108,,3,0,0,1980,,135000,
18247487,100,1,,0,0,1955,,199000,
17720589,145,8,9,1,1,2025,,450000,
18909290,105,3,5,1,1,1994,,230000,
16990218,181,1,6,1,1,1990,2024,850000,
18747001,103,8,,1,,1976,,488000,
17647719,104,7,7,1,1,1993,,280000,
18532631,110,3,7,1,1,1970,,480000,
19048175,105,7,,1,1,1963,2021,250000,
19021955,117,5,,1,0,1992,,265000,
18354147,121,7,,1,1,2025,,410000,
19061189,126,3,5,1,1,1986,,187000,
18753957,111,1,,1,0,1973,,190000,
18906256,105,3,,1,0,1994,,230000,
18869878,101,3,,1,1,1974,2010,199000,
18544465,117,5,,1,1,1995,,280000,
18796461,125,5,,0,1,2025,,390000,
18624226,111,4,,1,1,1975,2009,285000,
15611060,110,1,5,1,1,,,230000,
18747344,100,7,7,1,1,1968,,300000,
17671885,114,3,3,0,0,1970,2024,165000,
18749458,155,1,4,0,1,1932,,695000,
18909835,100,3,,1,1,1958,,350000,
19062454,125,3,6,1,1,1986,,187000,
19026589,105,,,0,1,1969,2022,110000,
17749281,160,1,,1,,1980,,490000,
18349902,100,4,,1,1,1957,,300000,340000
17149961,127,3,,1,,1993,,340000,
16978001,116,6,8,1,1,2024,,360000,
18630603,115,7,,1,1,1958,,420000,
17639907,110,1,,1,0,1978,,270000,
19059627,125,3,6,1,1,1986,,187000,
18351553,112,2,3,1,1,1965,1980,180000,
13757654,100,8,8,1,1,1960,2023,328000,
18791160,131,4,,1,1,1979,2024,460000,
18891488,110,1,2,0,,1955,,170000,
18446550,114,2,,1,0,1979,,228000,
17786713,121,4,6,1,1,1967,2018,255000,
18384605,105,2,2,1,1,2007,,135000,
17360316,115,7,8,1,1,1967,2025,490000,
17758317,310,1,4,1,1,1976,,275000,
16550792,186,,,0,1,2011,,399000,430000
18530152,104,3,5,1,1,1994,,230000,
18609417,146,3,,1,0,1979,,270000,
18476295,110,5,5,1,1,1964,2025,325000,
17777087,115,7,,1,1,1966,2025,490000,
18711017,157,3,5,1,,1980,,318000,
19071090,140,7,,1,1,1974,,540000,
18792852,131,4,5,1,1,1979,,460000,
17018036,110,5,,1,1,1964,2025,325000,
18749413,103,2,,0,0,1996,,180000,
16779589,101,5,,1,1,2002,,250000,
18734965,122,4,,1,1,2023,,430000,
19058631,115,7,8,1,1,1966,2025,475000,
18543535,115,4,,1,1,1993,,265000,
18436690,130,3,6,1,0,1972,2022,320000,
18620189,160,3,3,1,1,1976,,395000,
19059626,157,2,5,1,1,1968,,315000,
16722257,100,1,,1,1,1970,2015,200000,
17857481,112,2,3,1,1,2011,,270000,
16677991,110,1,5,1,,,,230000,
18595607,130,3,3,1,1,1978,2025,290000,
19065731,128,4,5,1,1,1980,,320000,
18320701,100,1,3,1,1,1958,2025,240000,
19062113,160,7,,1,1,1970,2005,350000,
18270135,125,2,,0,,1929,,365000,
18457436,144,7,,1,,2025,,450000,
17216166,113,2,4,1,1,1989,,269000,
18158076,120,1,3,1,1,1980,2010,180000,
18902335,198,8,,1,,2019,,630000,
18421635,131,4,,1,1,1983,,310000,
18413745,180,6,8,1,1,1970,,690000,
18718019,106,4,5,1,1,1971,,258000,
17540604,110,5,5,1,1,1966,2025,325000,
19031819,120,5,5,1,1,1990,2024,310000,
18628299,115,2,8,1,1,1963,,380000,
17153596,110,5,5,1,1,1964,2025,325000,
17348281,136,4,5,1,1,,,420000,
18382984,108,2,,1,1,1973,,185000,
18533814,125,1,6,1,1,1975,2025,290000,
18434969,100,4,4,1,1,1985,,295000,
17640523,100,1,,1,0,1972,,220000,
18388890,118,2,3,0,1,1970,,170000,
16787348,177,,,1,1,1983,,500000,
18221567,150,4,,1,,2025,,570000,
18870099,100,1,3,1,,1981,2021,200000,
18839449,126,5,6,1,1,2024,,365000,
18691709,100,1,3,1,,1981,2021,200000,
18715895,120,2,,1,0,1992,,240000,
18378231,100,1,6,1,0,1958,2025,240000,
19026565,111,6,7,1,1,2024,,290000,
18623850,115,2,4,1,0,1967,2000,190000,
15764276,120,6,,1,1,2024,,390000,
18630616,100,4,,1,1,1959,,689000,
18860143,112,2,3,0,1,1973,,250000,
18157278,110,4,4,1,1,1980,2024,295000,
18886778,131,4,,1,1,1979,,460000,
18501485,104,4,5,1,,1978,,210000,
17780437,178,4,,1,1,1990,,730000,
16466030,176,4,,1,1,1974,1998,460000,
18382976,100,7,,1,1,1962,,295000,
17912456,100,3,6,1,0,2005,,300000,
18726382,110,5,5,1,1,1964,2025,325000,
17922936,117,2,,1,1,2024,,368000,
18368250,120,2,7,1,1,1978,2020,230000,
18600310,100,2,6,1,1,1975,1990,210000,
17586440,115,7,8,1,1,1966,2025,490000,
18219908,115,4,5,1,1,1977,,220000,
18473932,120,,,0,0,1972,,285000,
18838004,110,1,2,0,1,1955,,170000,
17182830,106,2,2,0,0,1992,,200000,
19067951,117,2,,1,0,1977,2020,285000,
16716686,117,6,,1,1,2024,,320000,
17389167,105,6,,1,,2024,,365000,
18765041,170,5,,1,1,2023,,440000,
